
Mediation Sensitivity Analysis for Average Direct Effect

Sensitivity Region

        Rho    ADE 95% CI Lower 95% CI Upper R^2_M*R^2_Y* R^2_M~R^2_Y~
 [1,] -0.99 0.0484      -3.5068       3.6037       0.9801       0.7720
 [2,] -0.98 0.2560      -2.2643       2.7763       0.9604       0.7565
 [3,] -0.97 0.3487      -1.7144       2.4118       0.9409       0.7412
 [4,] -0.96 0.4044      -1.3869       2.1956       0.9216       0.7260
 [5,] -0.95 0.4427      -1.1636       2.0489       0.9025       0.7109
 [6,] -0.94 0.4711      -0.9990       1.9412       0.8836       0.6960
 [7,] -0.93 0.4935      -0.8711       1.8580       0.8649       0.6813
 [8,] -0.92 0.5116      -0.7682       1.7913       0.8464       0.6667
 [9,] -0.91 0.5267      -0.6830       1.7364       0.8281       0.6523
[10,] -0.90 0.5396      -0.6111       1.6903       0.8100       0.6381
[11,] -0.89 0.5508      -0.5492       1.6508       0.7921       0.6239
[12,] -0.88 0.5606      -0.4954       1.6166       0.7744       0.6100
[13,] -0.87 0.5694      -0.4479       1.5867       0.7569       0.5962
[14,] -0.86 0.5772      -0.4057       1.5601       0.7396       0.5826
[15,] -0.85 0.5844      -0.3678       1.5365       0.7225       0.5691
[16,] -0.84 0.5908      -0.3336       1.5153       0.7056       0.5558
[17,] -0.83 0.5968      -0.3025       1.4961       0.6889       0.5427
[18,] -0.82 0.6023      -0.2740       1.4786       0.6724       0.5297
[19,] -0.81 0.6074      -0.2479       1.4627       0.6561       0.5168
[20,] -0.80 0.6121      -0.2238       1.4481       0.6400       0.5041
[21,] -0.79 0.6166      -0.2015       1.4347       0.6241       0.4916
[22,] -0.78 0.6208      -0.1808       1.4223       0.6084       0.4792
[23,] -0.77 0.6247      -0.1614       1.4108       0.5929       0.4670
[24,] -0.76 0.6284      -0.1433       1.4002       0.5776       0.4550
[25,] -0.75 0.6319      -0.1264       1.3902       0.5625       0.4431
[26,] -0.74 0.6353      -0.1105       1.3810       0.5476       0.4314
[27,] -0.73 0.6384      -0.0955       1.3723       0.5329       0.4198
[28,] -0.72 0.6415      -0.0813       1.3642       0.5184       0.4084
[29,] -0.71 0.6444      -0.0679       1.3567       0.5041       0.3971
[30,] -0.70 0.6472      -0.0552       1.3495       0.4900       0.3860
[31,] -0.69 0.6498      -0.0431       1.3428       0.4761       0.3750
[32,] -0.68 0.6524      -0.0317       1.3365       0.4624       0.3642
[33,] -0.67 0.6549      -0.0208       1.3305       0.4489       0.3536
[34,] -0.66 0.6572      -0.0104       1.3249       0.4356       0.3431
[35,] -0.65 0.6595      -0.0005       1.3196       0.4225       0.3328
[36,]  0.83 0.8920      -0.0073       1.7912       0.6889       0.5427
[37,]  0.84 0.8979      -0.0265       1.8223       0.7056       0.5558
[38,]  0.85 0.9044      -0.0477       1.8565       0.7225       0.5691
[39,]  0.86 0.9115      -0.0714       1.8944       0.7396       0.5826
[40,]  0.87 0.9194      -0.0979       1.9366       0.7569       0.5962
[41,]  0.88 0.9281      -0.1279       1.9841       0.7744       0.6100
[42,]  0.89 0.9380      -0.1621       2.0380       0.7921       0.6239
[43,]  0.90 0.9491      -0.2015       2.0998       0.8100       0.6381
[44,]  0.91 0.9620      -0.2477       2.1718       0.8281       0.6523
[45,]  0.92 0.9772      -0.3026       2.2569       0.8464       0.6667
[46,]  0.93 0.9953      -0.3693       2.3599       0.8649       0.6813
[47,]  0.94 1.0176      -0.4525       2.4877       0.8836       0.6960
[48,]  0.95 1.0461      -0.5602       2.6524       0.9025       0.7109
[49,]  0.96 1.0844      -0.7069       2.8757       0.9216       0.7260
[50,]  0.97 1.1401      -0.9230       3.2032       0.9409       0.7412
[51,]  0.98 1.2327      -1.2876       3.7531       0.9604       0.7565
[52,]  0.99 1.4403      -2.1149       4.9955       0.9801       0.7720

Rho at which ADE = 0: -0.99
R^2_M*R^2_Y* at which ADE = 0: 0.9801
R^2_M~R^2_Y~ at which ADE = 0: 0.772 

