
Mediation Sensitivity Analysis for Average Direct Effect

Sensitivity Region

        Rho     ADE 95% CI Lower 95% CI Upper R^2_M*R^2_Y* R^2_M~R^2_Y~
 [1,] -0.99  3.2280      -3.6623      10.1183       0.9801       0.7032
 [2,] -0.98  2.6365      -2.2481       7.5210       0.9604       0.6891
 [3,] -0.97  2.3723      -1.6260       6.3707       0.9409       0.6751
 [4,] -0.96  2.2136      -1.2579       5.6851       0.9216       0.6613
 [5,] -0.95  2.1045      -1.0085       5.2175       0.9025       0.6476
 [6,] -0.94  2.0233      -0.8257       4.8724       0.8836       0.6340
 [7,] -0.93  1.9597      -0.6848       4.6043       0.8649       0.6206
 [8,] -0.92  1.9081      -0.5721       4.3883       0.8464       0.6073
 [9,] -0.91  1.8650      -0.4795       4.2094       0.8281       0.5942
[10,] -0.90  1.8282      -0.4018       4.0582       0.8100       0.5812
[11,] -0.89  1.7963      -0.3355       3.9282       0.7921       0.5683
[12,] -0.88  1.7683      -0.2782       3.8148       0.7744       0.5556
[13,] -0.87  1.7433      -0.2281       3.7148       0.7569       0.5431
[14,] -0.86  1.7209      -0.1839       3.6258       0.7396       0.5307
[15,] -0.85  1.7007      -0.1446       3.5459       0.7225       0.5184
[16,] -0.84  1.6822      -0.1093       3.4737       0.7056       0.5063
[17,] -0.83  1.6652      -0.0776       3.4080       0.6889       0.4943
[18,] -0.82  1.6495      -0.0488       3.3479       0.6724       0.4825
[19,] -0.81  1.6350      -0.0226       3.2926       0.6561       0.4708
[20,]  0.47  1.0941      -0.0072       2.1955       0.2209       0.1585
[21,]  0.48  1.0900      -0.0181       2.1981       0.2304       0.1653
[22,]  0.49  1.0858      -0.0294       2.2009       0.2401       0.1723
[23,]  0.50  1.0815      -0.0410       2.2039       0.2500       0.1794
[24,]  0.51  1.0771      -0.0530       2.2072       0.2601       0.1866
[25,]  0.52  1.0726      -0.0655       2.2106       0.2704       0.1940
[26,]  0.53  1.0680      -0.0783       2.2143       0.2809       0.2015
[27,]  0.54  1.0633      -0.0917       2.2183       0.2916       0.2092
[28,]  0.55  1.0585      -0.1054       2.2225       0.3025       0.2170
[29,]  0.56  1.0536      -0.1197       2.2269       0.3136       0.2250
[30,]  0.57  1.0486      -0.1345       2.2317       0.3249       0.2331
[31,]  0.58  1.0434      -0.1499       2.2367       0.3364       0.2414
[32,]  0.59  1.0381      -0.1659       2.2421       0.3481       0.2498
[33,]  0.60  1.0327      -0.1824       2.2478       0.3600       0.2583
[34,]  0.61  1.0271      -0.1997       2.2538       0.3721       0.2670
[35,]  0.62  1.0213      -0.2177       2.2602       0.3844       0.2758
[36,]  0.63  1.0154      -0.2364       2.2671       0.3969       0.2848
[37,]  0.64  1.0092      -0.2559       2.2743       0.4096       0.2939
[38,]  0.65  1.0029      -0.2763       2.2821       0.4225       0.3031
[39,]  0.66  0.9963      -0.2976       2.2903       0.4356       0.3125
[40,]  0.67  0.9896      -0.3199       2.2990       0.4489       0.3221
[41,]  0.68  0.9825      -0.3433       2.3083       0.4624       0.3318
[42,]  0.69  0.9752      -0.3678       2.3182       0.4761       0.3416
[43,]  0.70  0.9676      -0.3936       2.3288       0.4900       0.3516
[44,]  0.71  0.9597      -0.4207       2.3401       0.5041       0.3617
[45,]  0.72  0.9514      -0.4493       2.3521       0.5184       0.3720
[46,]  0.73  0.9428      -0.4795       2.3651       0.5329       0.3824
[47,]  0.74  0.9337      -0.5115       2.3789       0.5476       0.3929
[48,]  0.75  0.9242      -0.5455       2.3938       0.5625       0.4036
[49,]  0.76  0.9141      -0.5815       2.4098       0.5776       0.4144
[50,]  0.77  0.9036      -0.6199       2.4271       0.5929       0.4254
[51,]  0.78  0.8924      -0.6610       2.4457       0.6084       0.4365
[52,]  0.79  0.8805      -0.7050       2.4659       0.6241       0.4478
[53,]  0.80  0.8678      -0.7523       2.4879       0.6400       0.4592
[54,]  0.81  0.8543      -0.8033       2.5118       0.6561       0.4708
[55,]  0.82  0.8397      -0.8586       2.5380       0.6724       0.4825
[56,]  0.83  0.8241      -0.9187       2.5668       0.6889       0.4943
[57,]  0.84  0.8071      -0.9844       2.5986       0.7056       0.5063
[58,]  0.85  0.7886      -1.0567       2.6338       0.7225       0.5184
[59,]  0.86  0.7683      -1.1366       2.6732       0.7396       0.5307
[60,]  0.87  0.7459      -1.2256       2.7174       0.7569       0.5431
[61,]  0.88  0.7210      -1.3255       2.7675       0.7744       0.5556
[62,]  0.89  0.6930      -1.4389       2.8248       0.7921       0.5683
[63,]  0.90  0.6611      -1.5689       2.8911       0.8100       0.5812
[64,]  0.91  0.6243      -1.7202       2.9688       0.8281       0.5942
[65,]  0.92  0.5812      -1.8990       3.0614       0.8464       0.6073
[66,]  0.93  0.5295      -2.1150       3.1741       0.8649       0.6206
[67,]  0.94  0.4659      -2.3831       3.3150       0.8836       0.6340
[68,]  0.95  0.3848      -2.7282       3.4977       0.9025       0.6476
[69,]  0.96  0.2756      -3.1959       3.7471       0.9216       0.6613
[70,]  0.97  0.1169      -3.8814       4.1153       0.9409       0.6751
[71,]  0.98 -0.1472      -5.0317       4.7373       0.9604       0.6891
[72,]  0.99 -0.7388      -7.6291       6.1515       0.9801       0.7032

Rho at which ADE = 0: 0.97
R^2_M*R^2_Y* at which ADE = 0: 0.9409
R^2_M~R^2_Y~ at which ADE = 0: 0.6751 

