
Mediation Sensitivity Analysis for Average Direct Effect

Sensitivity Region

        Rho     ADE 95% CI Lower 95% CI Upper R^2_M*R^2_Y* R^2_M~R^2_Y~
 [1,] -0.99  0.0137      -0.7359       0.7632       0.9801       0.6174
 [2,] -0.98 -0.0367      -0.5680       0.4947       0.9604       0.6050
 [3,] -0.97 -0.0592      -0.4941       0.3758       0.9409       0.5927
 [4,] -0.96 -0.0727      -0.4503       0.3050       0.9216       0.5806
 [5,] -0.95 -0.0820      -0.4206       0.2567       0.9025       0.5685
 [6,] -0.94 -0.0889      -0.3988       0.2210       0.8836       0.5566
 [7,] -0.93 -0.0943      -0.3820       0.1934       0.8649       0.5449
 [8,] -0.92 -0.0987      -0.3685       0.1711       0.8464       0.5332
 [9,] -0.91 -0.1024      -0.3574       0.1527       0.8281       0.5217
[10,] -0.90 -0.1055      -0.3481       0.1371       0.8100       0.5103
[11,] -0.89 -0.1082      -0.3401       0.1237       0.7921       0.4990
[12,] -0.88 -0.1106      -0.3332       0.1120       0.7744       0.4878
[13,] -0.87 -0.1127      -0.3272       0.1018       0.7569       0.4768
[14,] -0.86 -0.1146      -0.3218       0.0926       0.7396       0.4659
[15,] -0.85 -0.1163      -0.3171       0.0844       0.7225       0.4551
[16,] -0.84 -0.1179      -0.3128       0.0770       0.7056       0.4445
[17,] -0.83 -0.1194      -0.3089       0.0702       0.6889       0.4340
[18,] -0.82 -0.1207      -0.3054       0.0641       0.6724       0.4236
[19,] -0.81 -0.1219      -0.3022       0.0584       0.6561       0.4133
[20,] -0.80 -0.1231      -0.2993       0.0532       0.6400       0.4032
[21,] -0.79 -0.1242      -0.2966       0.0483       0.6241       0.3932
[22,] -0.78 -0.1252      -0.2941       0.0438       0.6084       0.3833
[23,] -0.77 -0.1261      -0.2918       0.0396       0.5929       0.3735
[24,] -0.76 -0.1270      -0.2897       0.0357       0.5776       0.3639
[25,] -0.75 -0.1279      -0.2877       0.0320       0.5625       0.3544
[26,] -0.74 -0.1287      -0.2859       0.0285       0.5476       0.3450
[27,] -0.73 -0.1295      -0.2842       0.0253       0.5329       0.3357
[28,] -0.72 -0.1302      -0.2826       0.0222       0.5184       0.3266
[29,] -0.71 -0.1309      -0.2811       0.0193       0.5041       0.3176
[30,] -0.70 -0.1316      -0.2796       0.0165       0.4900       0.3087
[31,] -0.69 -0.1322      -0.2783       0.0139       0.4761       0.2999
[32,] -0.68 -0.1328      -0.2771       0.0114       0.4624       0.2913
[33,] -0.67 -0.1334      -0.2759       0.0090       0.4489       0.2828
[34,] -0.66 -0.1340      -0.2748       0.0067       0.4356       0.2744
[35,] -0.65 -0.1346      -0.2737       0.0046       0.4225       0.2662
[36,] -0.64 -0.1351      -0.2727       0.0025       0.4096       0.2580
[37,] -0.63 -0.1356      -0.2718       0.0005       0.3969       0.2500
[38,]  0.84 -0.1924      -0.3873       0.0025       0.7056       0.4445
[39,]  0.85 -0.1940      -0.3947       0.0068       0.7225       0.4551
[40,]  0.86 -0.1957      -0.4029       0.0115       0.7396       0.4659
[41,]  0.87 -0.1976      -0.4121       0.0169       0.7569       0.4768
[42,]  0.88 -0.1997      -0.4223       0.0229       0.7744       0.4878
[43,]  0.89 -0.2021      -0.4340       0.0298       0.7921       0.4990
[44,]  0.90 -0.2048      -0.4474       0.0378       0.8100       0.5103
[45,]  0.91 -0.2080      -0.4630       0.0471       0.8281       0.5217
[46,]  0.92 -0.2116      -0.4814       0.0582       0.8464       0.5332
[47,]  0.93 -0.2160      -0.5037       0.0716       0.8649       0.5449
[48,]  0.94 -0.2214      -0.5314       0.0885       0.8836       0.5566
[49,]  0.95 -0.2283      -0.5670       0.1103       0.9025       0.5685
[50,]  0.96 -0.2376      -0.6153       0.1400       0.9216       0.5806
[51,]  0.97 -0.2511      -0.6861       0.1838       0.9409       0.5927
[52,]  0.98 -0.2736      -0.8050       0.2577       0.9604       0.6050
[53,]  0.99 -0.3240      -1.0735       0.4256       0.9801       0.6174

Rho at which ADE = 0: -0.99
R^2_M*R^2_Y* at which ADE = 0: 0.9801
R^2_M~R^2_Y~ at which ADE = 0: 0.6174 

