
Mediation Sensitivity Analysis for Average Direct Effect

Sensitivity Region

        Rho      ADE 95% CI Lower 95% CI Upper R^2_M*R^2_Y* R^2_M~R^2_Y~
 [1,] -0.99   3.8846     -26.3223      34.0915       0.9801       0.7370
 [2,] -0.98  -0.0001     -21.4138      21.4136       0.9604       0.7222
 [3,] -0.97  -1.7347     -19.2633      15.7940       0.9409       0.7075
 [4,] -0.96  -2.7767     -17.9957      12.4424       0.9216       0.6930
 [5,] -0.95  -3.4933     -17.1406      10.1540       0.9025       0.6787
 [6,] -0.94  -4.0264     -16.5168       8.4639       0.8836       0.6644
 [7,] -0.93  -4.4440     -16.0377       7.1498       0.8649       0.6504
 [8,] -0.92  -4.7832     -15.6564       6.0901       0.8464       0.6365
 [9,] -0.91  -5.0664     -15.3446       5.2119       0.8281       0.6227
[10,] -0.90  -5.3078     -15.0843       4.4687       0.8100       0.6091
[11,] -0.89  -5.5172     -14.8634       3.8290       0.7921       0.5956
[12,] -0.88  -5.7013     -14.6734       3.2708       0.7744       0.5823
[13,] -0.87  -5.8650     -14.5081       2.7781       0.7569       0.5692
[14,] -0.86  -6.0120     -14.3632       2.3391       0.7396       0.5562
[15,] -0.85  -6.1452     -14.2349       1.9446       0.7225       0.5433
[16,] -0.84  -6.2666     -14.1207       1.5876       0.7056       0.5306
[17,] -0.83  -6.3781     -14.0185       1.2624       0.6889       0.5180
[18,] -0.82  -6.4809     -13.9265       0.9647       0.6724       0.5056
[19,] -0.81  -6.5764     -13.8434       0.6907       0.6561       0.4934
[20,] -0.80  -6.6653     -13.7680       0.4374       0.6400       0.4813
[21,] -0.79  -6.7484     -13.6993       0.2024       0.6241       0.4693
[22,]  0.97 -16.5451     -34.0737       0.9836       0.9409       0.7075
[23,]  0.98 -18.2796     -39.6933       3.1341       0.9604       0.7222
[24,]  0.99 -22.1643     -52.3712       8.0426       0.9801       0.7370

Rho at which ADE = 0: -0.98
R^2_M*R^2_Y* at which ADE = 0: 0.9604
R^2_M~R^2_Y~ at which ADE = 0: 0.7222 

